column,variant,unit,origin,meaning,sentinel2_relation
field_season_id,общий ключ,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
field_short_name,общий ключ,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
field_long_name,общий ключ,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
area_ha,общий ключ,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
day,общий ключ,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
method_code,общий ключ,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
method_version,общий ключ,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
published_calculation_run_id_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
source_calculation_run_id_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
lineage_depth_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
parameter_snapshot_id_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
weather_snapshot_id_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
calculation_status_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
input_completeness_status_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
coverage_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
crop_name_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
soil_parameter_snapshot_hash_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
crop_parameter_snapshot_hash_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
method_parameter_snapshot_hash_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
forcing_kind_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
weather_source_kind_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
weather_quality_status_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
weather_source_hash_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
crop_sowing_date_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
air_temperature_min_c_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,°C,прямой факт/атрибут КОРНИКС,Суточная температура forcing.,косвенная
air_temperature_mean_c_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,°C,прямой факт/атрибут КОРНИКС,Суточная температура forcing.,косвенная
air_temperature_max_c_65,междурядье 65 см; run cwr_manual_27b381469dc51d34566f36b20984ba4e,°C,прямой факт/атрибут КОРНИКС,Суточная температура forcing.,косвенная
