column,unit,origin,meaning,sentinel2_relation
published_calculation_run_id,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
source_calculation_run_id,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
lineage_depth,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
field_season_id,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
field_short_name,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
field_long_name,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
area_ha,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
method_code,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
method_version,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
parameter_snapshot_id,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
weather_snapshot_id,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
calculation_status,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
input_completeness_status,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
coverage,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
crop_name,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
soil_parameter_snapshot_hash,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
crop_parameter_snapshot_hash,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
method_parameter_snapshot_hash,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
forcing_kind,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
weather_source_kind,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
weather_quality_status,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
weather_source_hash,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
day,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
