dataset,field_id,scene_date,scene_id,index,zonal_mean,valid_pixel_count,nodata_pixel_count,aoi_cloud_cover,analysis_raster
kaa,KAA_КУР-ГОР-0031-2,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDS_20260425T123614,NDVI,0.07890967279672623,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDS_20260425T123614,NDMI,-0.28589409589767456,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDS_20260425T123614,NDRE,0.06266224384307861,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDS_20260425T123614,SAVI,0.04776763170957565,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDS_20260505T123805,NDVI,0.07701389491558075,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDS_20260505T123805,NDMI,-0.284982830286026,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDS_20260505T123805,NDRE,0.054959699511528015,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDS_20260505T123805,SAVI,0.04955058917403221,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UDT_20260508T133027,NDVI,0.08638109266757965,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UDT_20260508T133027,NDMI,-0.27752912044525146,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UDT_20260508T133027,NDRE,0.06573472172021866,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UDT_20260508T133027,SAVI,0.05324369668960571,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UDS_20260520T135803,NDVI,0.1167706847190857,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-20/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UDS_20260520T135803,NDMI,-0.2446586787700653,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-20/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UDS_20260520T135803,NDRE,0.08628309518098831,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-20/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UDS_20260520T135803,SAVI,0.08229493349790573,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-20/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UDT_20260522T122936,NDVI,0.10591673851013184,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UDT_20260522T122936,NDMI,-0.27357763051986694,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UDT_20260522T122936,NDRE,0.07107934355735779,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UDT_20260522T122936,SAVI,0.07209331542253494,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UDS_20260608T120920,NDVI,0.10380076617002487,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UDS_20260608T120920,NDMI,-0.28071096539497375,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UDS_20260608T120920,NDRE,0.07391436398029327,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UDS_20260608T120920,SAVI,0.06695448607206345,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UDS_20260609T140015,NDVI,0.10515390336513519,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UDS_20260609T140015,NDMI,-0.26667121052742004,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UDS_20260609T140015,NDRE,0.07512681186199188,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UDS_20260609T140015,SAVI,0.06588060408830643,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-08,S2A_MSIL2A_20260708T083531_R021_T37UDS_20260708T111910,NDVI,0.359885036945343,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-08,S2A_MSIL2A_20260708T083531_R021_T37UDS_20260708T111910,NDMI,0.008034931495785713,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-08/sentinel_analysis.tif
