dataset,field_id,scene_date,scene_id,index,zonal_mean,valid_pixel_count,nodata_pixel_count,aoi_cloud_cover,analysis_raster
kaa,KAA_КУР-ГОР-0031-2,2026-04-12,S2A_MSIL2A_20260412T084501_R064_T37UDS_20260412T135001,NDVI,,0,8360,100.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-12/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-12,S2A_MSIL2A_20260412T084501_R064_T37UDS_20260412T135001,NDMI,,0,8360,100.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-12/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-12,S2A_MSIL2A_20260412T084501_R064_T37UDS_20260412T135001,NDWI,,0,8360,100.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-12/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-12,S2A_MSIL2A_20260412T084501_R064_T37UDS_20260412T135001,MNDWI,,0,8360,100.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-12/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-12,S2A_MSIL2A_20260412T084501_R064_T37UDS_20260412T135001,NDRE,,0,8360,100.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-12/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-12,S2A_MSIL2A_20260412T084501_R064_T37UDS_20260412T135001,SAVI,,0,8360,100.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-12/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDS_20260425T123614,NDVI,0.07890967279672623,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDS_20260425T123614,NDMI,-0.28589409589767456,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDS_20260425T123614,NDWI,-0.11209411174058914,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDS_20260425T123614,MNDWI,-0.3856005370616913,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-04-25/sentinel_analysis.tif
