dataset,field_id,scene_date,scene_id,polarization,zonal_mean_db,zonal_min_db,zonal_max_db,zonal_median_db,valid_pixel_count,nodata_pixel_count,radar_raster
sp,SP_1_1,2026-04-06,S1C_IW_GRDH_1SDV_20260406T033655_20260406T033720_007090_00E5B7_rtc,VH,-16.94837951490547,-23.91295310438614,-12.064929229536496,-17.179629936791322,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-04-06/sentinel_rtc.tif
sp,SP_1_1,2026-04-06,S1C_IW_GRDH_1SDV_20260406T033655_20260406T033720_007090_00E5B7_rtc,VV,-7.553762730849388,-14.935113551738041,-2.5865009770999006,-7.825008830009727,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-04-06/sentinel_rtc.tif
sp,SP_1_1,2026-04-09,S1C_IW_GRDH_1SDV_20260409T151312_20260409T151336_007141_00E773_rtc,VH,-12.760619779254231,-19.356921487826956,-7.8093360558737155,-12.988840143469183,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-04-09/sentinel_rtc.tif
sp,SP_1_1,2026-04-09,S1C_IW_GRDH_1SDV_20260409T151312_20260409T151336_007141_00E773_rtc,VV,-4.461153796347899,-11.405331385269308,0.9718187552795408,-4.693965063041063,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-04-09/sentinel_rtc.tif
sp,SP_1_1,2026-04-11,S1C_IW_GRDH_1SDV_20260411T034514_20260411T034544_007163_00E838_rtc,VH,-11.898729619440484,-18.248181918522725,-7.078653965167094,-12.127058474837243,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-04-11/sentinel_rtc.tif
sp,SP_1_1,2026-04-11,S1C_IW_GRDH_1SDV_20260411T034514_20260411T034544_007163_00E838_rtc,VV,-3.250077616430201,-9.831977890575876,1.4249557428646362,-3.4825275466026557,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-04-11/sentinel_rtc.tif
sp,SP_1_1,2026-04-12,S1A_IW_GRDH_1SDV_20260412T033800_20260412T033825_064041_080EBE_rtc,VH,-12.4117664375934,-18.32464714664415,-7.623341033806081,-12.661329024074995,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-04-12/sentinel_rtc.tif
sp,SP_1_1,2026-04-12,S1A_IW_GRDH_1SDV_20260412T033800_20260412T033825_064041_080EBE_rtc,VV,-4.179099793733478,-10.600606508720539,1.426996548221406,-4.4455745948191066,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-04-12/sentinel_rtc.tif
sp,SP_1_1,2026-04-18,S1C_IW_GRDH_1SDV_20260418T033655_20260418T033720_007265_00EB9A_rtc,VH,-12.543383036665741,-18.380840644730576,-7.953745337835029,-12.807526851371895,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-04-18/sentinel_rtc.tif
sp,SP_1_1,2026-04-18,S1C_IW_GRDH_1SDV_20260418T033655_20260418T033720_007265_00EB9A_rtc,VV,-4.281191720796274,-11.456027582944635,1.4583919276428539,-4.541601008322495,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-04-18/sentinel_rtc.tif
