dataset,field_id,scene_date,scene_id,index,zonal_mean,zonal_min,zonal_max,zonal_median,valid_pixel_count,nodata_pixel_count,aoi_cloud_cover,analysis_raster
sp,SP_1_1,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,NDVI,0.06668698042631149,0.042306240648031235,0.17085331678390503,0.065561942756176,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-04-22/sentinel_analysis.tif
sp,SP_1_1,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,NDMI,-0.20780828595161438,-0.2599908411502838,-0.05902347341179848,-0.20889128744602203,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-04-22/sentinel_analysis.tif
sp,SP_1_1,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,NDRE,0.05176900327205658,-0.005028095096349716,0.17567571997642517,0.050714291632175446,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-04-22/sentinel_analysis.tif
sp,SP_1_1,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,SAVI,0.03635581582784653,0.02209620177745819,0.13083700835704803,0.035378262400627136,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-04-22/sentinel_analysis.tif
sp,SP_1_1,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,FCOVER,0.019656777381896973,0.006943041924387217,0.029459934681653976,0.019692374393343925,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-04-22/sentinel_analysis.tif
sp,SP_1_1,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,NDVI,0.08771590888500214,0.06295669078826904,0.20924215018749237,0.08721506595611572,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-05-05/sentinel_analysis.tif
sp,SP_1_1,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,NDMI,-0.27099767327308655,-0.32774052023887634,-0.10516934096813202,-0.2729853391647339,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-05-05/sentinel_analysis.tif
sp,SP_1_1,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,NDRE,0.062346428632736206,0.00441672932356596,0.17549248039722443,0.06205889582633972,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-05-05/sentinel_analysis.tif
sp,SP_1_1,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,SAVI,0.05966044217348099,0.03926149383187294,0.16311240196228027,0.05916474759578705,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-05-05/sentinel_analysis.tif
sp,SP_1_1,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,FCOVER,0.0022329336497932673,0.0,0.031593307852745056,0.0018966442439705133,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-05-05/sentinel_analysis.tif
