field_id,stage_from_fraction,stage_to_fraction,fcover_duration_days,kornix_duration_days,stretch_factor_fcover_over_kornix,additional_stretch_percent,fcover_lag_at_stage_start_days,fcover_lag_at_stage_end_days
SP_1_1,0.2,0.35,6.845570671954192,2.962187947705388,2.310984580589157,131.09845805891572,8.289728599018417,12.173111323267221
SP_1_1,0.35,0.5,6.8455706720706075,5.935974374064244,1.1532345392157717,15.323453921577169,12.173111323267221,13.082707621273585
SP_1_1,0.5,0.65,6.8455706720706075,4.336277851369232,1.578674362370261,57.867436237026105,13.082707621273585,15.59200044197496
SP_1_1,0.65,0.8,6.8455706720706075,4.914293036563322,1.3929919565516737,39.299195655167374,15.59200044197496,17.523278077482246
SP_1_11,0.2,0.35,9.588693163357675,4.335296340752393,2.211773408249539,121.1773408249539,-13.615819815197028,-8.362422992591746
SP_1_11,0.35,0.5,9.58869316324126,5.095816054032184,1.8816796096189503,88.16796096189503,-8.362422992591746,-3.8695458833826706
SP_1_11,0.5,0.65,9.588693163357675,4.165055630961433,2.302176492452824,130.21764924528242,-3.8695458833826706,1.5540916490135714
SP_1_11,0.65,0.8,9.588693163357675,4.3030480614397675,2.2283490740629492,122.83490740629492,1.5540916490135714,6.839736750931479
SP_1_3,0.2,0.35,9.38308136118576,5.884705192642286,1.5944862238668358,59.44862238668358,-12.214194538886659,-8.715818370343186
SP_1_3,0.35,0.5,9.383081361302175,4.344004179583862,2.1600074432251204,116.00074432251203,-8.715818370343186,-3.6767411886248738
SP_1_3,0.5,0.65,9.383081361302175,4.924199595930986,1.9055038648424603,90.55038648424602,-3.6767411886248738,0.7821405767463148
SP_1_3,0.65,0.8,9.38308136118576,3.4295927510829642,2.735917073017739,173.5917073017739,0.7821405767463148,6.73562918684911
SP_1_5,0.2,0.35,6.966585839516483,5.120452488656156,1.3605410566644742,36.05410566644742,3.0490972590632737,4.895230609923601
SP_1_5,0.35,0.5,6.966585839632899,4.556078806053847,1.5290749208236067,52.907492082360676,4.895230609923601,7.305737643502653
SP_1_5,0.5,0.65,6.966585839516483,4.186443878221326,1.6640819851325328,66.40819851325328,7.305737643502653,10.08587960479781
SP_1_5,0.65,0.8,6.966585839516483,2.8173161019803956,2.4727739406378335,147.27739406378336,10.08587960479781,14.235149342333898
SP_1_6,0.2,0.35,5.8274768207920715,4.706638399627991,1.2381399049590618,23.81399049590618,0.514686320326291,1.6355247414903715
SP_1_6,0.35,0.5,5.827476820675656,4.807112801703624,1.2122613013388033,21.22613013388033,1.6355247414903715,2.6558887604624033
SP_1_6,0.5,0.65,5.8274768207920715,3.7713131684577093,1.5452115908940114,54.52115908940114,2.6558887604624033,4.712052412796766
SP_1_6,0.65,0.8,5.827476820675656,3.009460184141062,1.9363860839178677,93.63860839178678,4.712052412796766,7.53006904933136
SP_2_1,0.2,0.35,6.594884548569098,4.607398932916112,1.431368250197312,43.1368250197312,1.0035791454138234,2.9910647610668093
SP_2_1,0.35,0.5,6.594884548569098,4.6331459361827,1.4234139479756376,42.34139479756376,2.9910647610668093,4.952803373453207
SP_2_1,0.5,0.65,6.594884548569098,3.813840904040262,1.729197602758596,72.9197602758596,4.952803373453207,7.733847017982043
SP_2_1,0.65,0.8,6.594884548569098,2.829439429217018,2.330809587393811,133.0809587393811,7.733847017982043,11.499292137334123
SP_2_5,0.2,0.35,5.098975129774772,4.721827320405282,1.0798732744290866,7.987327442908665,-0.33552391722332686,0.04162389214616269
SP_2_5,0.35,0.5,5.098975129774772,4.776959176058881,1.067410237736543,6.741023773654309,0.04162389214616269,0.36363984586205333
SP_2_5,0.5,0.65,5.098975129774772,3.7900005308911204,1.3453758352313159,34.53758352313159,0.36363984586205333,1.6726144447457045
SP_2_5,0.65,0.8,5.098975129774772,2.9805466482648626,1.71075166119046,71.075166119046,1.6726144447457045,3.7910429262556136
SP_2_6,0.2,0.35,6.30931040388532,4.882472941302694,1.2922366349462924,29.223663494629236,1.9805784147465602,3.4074158773291856
SP_2_6,0.35,0.5,6.30931040388532,4.727232341188937,1.334673218600141,33.46732186001411,3.4074158773291856,4.989493940025568
SP_2_6,0.5,0.65,6.30931040388532,3.9194893495878205,1.6097276561164318,60.972765611643176,4.989493940025568,7.379314994323067
SP_2_6,0.65,0.8,6.30931040388532,2.9520834332797676,2.137239866854193,113.7239866854193,7.379314994323067,10.73654196492862
SP_2_7,0.2,0.35,6.6720191951608285,4.705731616355479,1.417849494852452,41.78494948524521,-23.77276230393909,-21.80647472513374
SP_2_7,0.35,0.5,22.80632907128893,4.749970319797285,4.801362437199868,380.13624371998685,-21.80647472513374,-3.750115973642096
SP_2_7,0.5,0.65,6.883287257282063,3.777891931706108,1.8219915714141535,82.19915714141534,-3.750115973642096,-0.6447206480661407
SP_2_7,0.65,0.8,6.883287257282063,2.9351118589984253,2.3451532983928285,134.51532983928286,-0.6447206480661407,3.3034547502174973
SP_3_1,0.2,0.35,5.739604526082985,5.442283020936884,1.0546317609727907,5.4631760972790655,2.1271220655180514,2.4244435706641525
SP_3_1,0.35,0.5,5.7396045261994,4.140977196395397,1.3860507445429942,38.60507445429941,2.4244435706641525,4.023070900468156
SP_3_1,0.5,0.65,5.7396045261994,4.667936868267134,1.229580580923773,22.9580580923773,4.023070900468156,5.094738558400422
SP_3_1,0.65,0.8,5.739604526082985,3.0299169179052114,1.894310861187298,89.43108611872981,5.094738558400422,7.804426166578196
SP_3_4,0.2,0.35,5.43167180439923,5.478928571334109,0.9913748160211237,-0.862518397887635,1.0044000812340528,0.9571433142991737
SP_3_4,0.35,0.5,5.431671804515645,4.306731408229098,1.261205143682066,26.120514368206592,0.9571433142991737,2.082083710585721
SP_3_4,0.5,0.65,5.43167180439923,4.549157408881001,1.193995132767962,19.39951327679621,2.082083710585721,2.9645981061039492
SP_3_4,0.65,0.8,5.43167180439923,2.9130766553571448,1.8645825177344342,86.45825177344342,2.9645981061039492,5.483193255146034
SP_3_5,0.2,0.35,5.828872752725147,5.83995813713409,0.9981018041313592,-0.18981958686408174,3.7481268944684416,3.7370415100594983
SP_3_5,0.35,0.5,5.828872752841562,4.259655223460868,1.3683907375268138,36.83907375268139,3.7370415100594983,5.306259039440192
SP_3_5,0.5,0.65,5.828872752725147,4.8667447086190805,1.1976943730790157,19.769437307901573,5.306259039440192,6.2683870835462585
SP_3_5,0.65,0.8,5.828872752841562,3.090146731468849,1.8862770150953014,88.62770150953014,6.2683870835462585,9.007113104918972
SP_4_1,0.2,0.35,6.661220413050614,5.6674946278799325,1.1753377551135693,17.53377551135693,0.19691377552226186,1.1906395606929436
SP_4_1,0.35,0.5,6.661220412934199,4.192795653711073,1.5887300415030496,58.873004150304965,1.1906395606929436,3.6590643199160695
SP_4_1,0.5,0.65,6.661220413050614,4.721942356554791,1.4106949873718393,41.06949873718393,3.6590643199160695,5.5983423764118925
SP_4_1,0.65,0.8,6.661220412934199,3.3736314781708643,1.9744955713259527,97.44955713259526,5.5983423764118925,8.885931311175227
SP_4_11,0.2,0.35,5.570132683380507,5.4479750451864675,1.0224225766786452,2.2422576678645223,-0.5885937999701127,-0.4664361617760733
SP_4_11,0.35,0.5,5.570132683380507,4.269282317720354,1.304700010177533,30.4700010177533,-0.4664361617760733,0.83441420388408
SP_4_11,0.5,0.65,5.570132683264092,4.573733820929192,1.2178523939839754,21.785239398397536,0.83441420388408,1.8308130662189797
SP_4_11,0.65,0.8,5.570132683380507,2.930069283465855,1.9010242231514174,90.10242231514174,1.8308130662189797,4.470876466133632
SP_4_15,0.2,0.35,5.227813064469956,5.706380054471083,0.9161347499758348,-8.386525002416523,2.3423798367148265,1.8638128467136994
SP_4_15,0.35,0.5,5.2278130643535405,4.23256007314194,1.2351420828087145,23.51420828087145,1.8638128467136994,2.8590658379253
SP_4_15,0.5,0.65,5.227813064469956,4.777484554797411,1.094260589334682,9.426058933468195,2.8590658379253,3.309394347597845
SP_4_15,0.65,0.8,5.227813064469956,3.1743196749594063,1.6469081881417031,64.69081881417031,3.309394347597845,5.3628877371083945
SP_4_16,0.2,0.35,5.677120389533229,4.621528104762547,1.2284076307321123,22.840763073211235,-2.4115233927732334,-1.355931108002551
SP_4_16,0.35,0.5,5.677120389416814,4.652893992722966,1.220126742258843,22.01267422588431,-1.355931108002551,-0.3317047113087028
SP_4_16,0.5,0.65,5.677120389416814,3.8138345127226785,1.4885597082092439,48.85597082092439,-0.3317047113087028,1.5315811653854325
SP_4_16,0.65,0.8,5.677120389533229,2.8501618921291083,1.9918589204391985,99.18589204391985,1.5315811653854325,4.358539662789553
SP_4_3,0.2,0.35,18.0143835444469,4.226119881379418,4.262629563306887,326.26295633068867,24.446808080072515,38.23507174314
SP_4_3,0.35,0.5,7.980688497424126,3.239511717343703,2.4635467298040945,146.35467298040945,38.23507174314,42.97624852322042
SP_4_3,0.5,0.65,5.333849424961954,3.030024912324734,1.7603318716180623,76.03318716180623,42.97624852322042,45.28007303585764
SP_4_3,0.65,0.8,5.333849424961954,5.673414001706988,0.9401481054189124,-5.9851894581087635,45.28007303585764,44.94050845911261
SP_4_6,0.2,0.35,14.485490194172598,4.059971243725158,3.567879998303062,256.7879998303062,20.551715961424634,30.977234911872074
SP_4_6,0.35,0.5,13.178471605642699,3.109600104042329,4.237995615098972,323.7995615098972,30.977234911872074,41.046106413472444
SP_4_6,0.5,0.65,9.476983834290877,3.6108505845768377,2.6245848761425563,162.45848761425563,41.046106413472444,46.91223966318648
SP_4_6,0.65,0.8,4.147653899504803,5.518773616524413,0.7515535493403501,-24.844645065964986,46.91223966318648,45.54111994616687
SP_4_8,0.2,0.35,6.6675780130317435,4.9859758673701435,1.337266402885452,33.7266402885452,1.0397709759417921,2.721373121603392
SP_4_8,0.35,0.5,6.667578012915328,4.395891878986731,1.5167747971208585,51.67747971208585,2.721373121603392,4.993059255531989
SP_4_8,0.5,0.65,6.6675780130317435,4.196987204137258,1.5886581704273615,58.86581704273615,4.993059255531989,7.463650064426474
SP_4_8,0.65,0.8,6.6675780130317435,2.772094651707448,2.4052490447701365,140.52490447701365,7.463650064426474,11.35913342575077
SP_6_1,0.2,0.35,6.1462144672404975,4.300355311366729,1.4292341032832288,42.92341032832287,13.825070460909046,15.670929616782814
SP_6_1,0.35,0.5,6.146214467124082,3.345841721398756,1.8369710760121098,83.69710760121099,15.670929616782814,18.47130236250814
SP_6_1,0.5,0.65,6.146214467124082,2.9106577150523663,2.1116239244962216,111.16239244962216,18.47130236250814,21.706859114579856
SP_6_1,0.65,0.8,6.146214467124082,5.5438226603437215,1.1086600065852417,10.866000658524166,21.706859114579856,22.309250921360217
SP_6_2,0.2,0.35,6.24746254098136,3.953846860444173,1.5800972474385422,58.00972474385422,12.944100069929846,15.237715750467032
SP_6_2,0.35,0.5,6.24746254098136,3.038145322352648,2.056340917933285,105.6340917933285,15.237715750467032,18.447032969095744
SP_6_2,0.5,0.65,6.247462541097775,4.036671761889011,1.5476766280779286,54.76766280779286,18.447032969095744,20.65782374830451
SP_6_2,0.65,0.8,6.24746254098136,5.248245754279196,1.1903906245029483,19.03906245029483,20.65782374830451,21.657040535006672
SP_6_3,0.2,0.35,7.144955959636718,3.3572716009803116,2.1282031389865557,112.82031389865557,12.203141196863726,15.990825555520132
