field_id,satellite_series,pair_count,pearson_r,r_squared,r_squared_group,mean_kornix_expected_fcover,mean_satellite_value,slope_satellite_per_kornix_fcover,intercept
SP:1.1,FCOVER,7,0.9513946200686697,0.9051517230956084,Высокое совпадение (R² >= 0.70),0.2527627329192547,0.24389221043592052,0.9868368904721597,-0.005543378945361804
SP:1.11,FCOVER,6,0.9963179371458264,0.9926494318785148,Высокое совпадение (R² >= 0.70),0.14256666666666667,0.10589062562212348,0.5924122870536309,0.021432380564510828
SP:1.3,FCOVER,7,0.9952402662529154,0.990503187571174,Высокое совпадение (R² >= 0.70),0.2278640638864242,0.22815699459585762,0.910319340395786,0.020727930258864713
SP:1.5,FCOVER,8,0.9844259582776844,0.9690944673309373,Высокое совпадение (R² >= 0.70),0.21367585403726713,0.15794141427613795,0.671942494925005,0.014363527809105464
SP:1.6,FCOVER,8,0.9969679430552598,0.9939450794798358,Высокое совпадение (R² >= 0.70),0.21410729813664603,0.20009135076543316,0.8998661056224304,0.007423450205868848
SP:2.1,FCOVER,8,0.9973762597646352,0.994759403542093,Высокое совпадение (R² >= 0.70),0.22343214285714286,0.2278217813873198,0.9727241179355484,0.010483947308156077
SP:2.5,FCOVER,8,0.9973716855479156,0.9947502791326901,Высокое совпадение (R² >= 0.70),0.31691141304347836,0.3156518646283075,0.982308766772436,0.004347005305458229
SP:2.6,FCOVER,10,0.9942608873379875,0.9885547120901221,Высокое совпадение (R² >= 0.70),0.25920745341614915,0.24473918286385016,0.942285133542611,0.0004918530063739435
SP:2.7,FCOVER,13,0.923434349507596,0.8527309978505169,Высокое совпадение (R² >= 0.70),0.31870974677496416,0.3213999754247757,0.644259577190229,0.11606816872113238
SP:3.1,FCOVER,14,0.9834288149033025,0.967132233982114,Высокое совпадение (R² >= 0.70),0.3325710875110914,0.3202204627284248,0.8978040431246914,0.021636795734591374
SP:3.4,FCOVER,13,0.9946082299317689,0.9892455310480065,Высокое совпадение (R² >= 0.70),0.2484249880554229,0.2434873271267861,0.910081322795772,0.017400385381782985
SP:3.5,FCOVER,12,0.9900043970684109,0.9801087062147879,Высокое совпадение (R² >= 0.70),0.2693452898550725,0.2531554496575457,0.920787281271655,0.005145732488567645
SP:4.1,FCOVER,11,0.9969800263064101,0.9939691728539303,Высокое совпадение (R² >= 0.70),0.28335934500282317,0.2636408496394076,0.8377489541802973,0.026256854706078442
SP:4.11,FCOVER,13,0.9702523472373239,0.9413896173195365,Высокое совпадение (R² >= 0.70),0.35378330148112763,0.2991757035801689,0.8391042418208589,0.00231463462196696
SP:4.15,FCOVER,12,0.9955623907156056,0.9911444738073721,Высокое совпадение (R² >= 0.70),0.2678611801242236,0.24277113740875697,0.8978932104273296,0.0022604024381646104
SP:4.16,FCOVER,12,0.997826596229575,0.9956579161430994,Высокое совпадение (R² >= 0.70),0.3379718944099379,0.3495464402755412,0.9772165510002067,0.019274711285255652
SP:4.3,FCOVER,11,0.03704349201881196,0.0013722203009477855,Низкое совпадение (R² < 0.70 или обратная связь),0.14468729531338223,0.13932144292630255,0.02792292805357126,0.13528134998900115
SP:4.6,FCOVER,12,0.2658717281213008,0.07068777581420688,Низкое совпадение (R² < 0.70 или обратная связь),0.2277433747412008,0.156885964582519,0.18242828881650677,0.11533913043918528
SP:4.8,FCOVER,12,0.9870154801661563,0.974199558087628,Высокое совпадение (R² >= 0.70),0.2489000032349895,0.27298212800330174,1.0403135321375925,0.014048086488851586
